sn_block,uid_i,uid_j,survey_i,survey_j,released_common_difference,sigma_released_common_difference,local_refit_departure_difference,local_photometric_sigma_independent_proxy,raw_error_cross_survey_covariance,fit_i,fit_j
Pantheon:2007bd,P0491,P0492,51,5,-0.0836000000000042,0.13631309548242238,-0.0183279952228642,0.022185511084941968,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007bd,P0491,P0493,51,64,0.011600000000001304,0.1349096734856326,-0.0037329036212206995,0.022407858773565183,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007bd,P0492,P0493,5,64,0.0952000000000055,0.12236796966526821,0.0145950916016435,0.00514609541693407,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007ca,P0164,P0165,57,5,0.1584999999999965,0.22654880268939853,0.037794954844278895,0.010503376519923698,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007ca,P0164,P0166,57,64,0.08459999999999468,0.22606324336344466,0.02849051037084859,0.012000232304450823,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007ca,P0165,P0166,5,64,-0.07390000000000183,0.21351859403808376,-0.009304444473430304,0.006307668329365048,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007ci,P0336,P0337,57,64,0.21769999999999357,0.29085030513994653,0.0145564944979131,0.010785015848853215,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007co,P0416,P0417,57,56,0.23189999999999597,0.22392049928490246,0.0017205897248680005,0.02126841228373951,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007co,P0416,P0418,57,64,0.11670000000000158,0.14860767140359882,-0.0949180370469566,0.006140894353078641,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007co,P0417,P0418,56,64,-0.11519999999999439,0.2047588581722412,-0.09663862677182461,0.021175185080555287,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007cq,P0380,P0381,56,64,-0.011299999999998533,0.1931634541004069,-0.0605319268128543,0.018551259431403046,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007cq,P0380,P0383,56,57,-0.17210000000000042,0.19287397439779166,-0.05100899455636959,0.018029205779757328,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007cq,P0381,P0383,64,57,-0.16080000000000189,0.13731565824770312,0.009522932256484706,0.008572333521396051,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007f,P0359,P0360,51,64,-0.1418999999999997,0.15402509535786693,-0.0147368374613581,0.010982695642974924,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007fb,P0231,P0232,51,65,-0.1092000000000013,0.23015238430222704,-0.032627860788203,0.022155792491594526,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007hj,P0149,P0150,57,5,-0.016399999999997306,0.2245715698836342,0.1676606184255447,0.006296046054389987,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007hj,P0149,P0151,57,65,0.04350000000000159,0.22559957890031623,0.021527813224009706,0.009223105728514976,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007hj,P0150,P0151,5,65,0.0598999999999989,0.22537488768716005,-0.146132805201535,0.007368259828692849,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007jg,P0574,P0575,51,5,0.11480000000000251,0.1362749059805216,-0.0858015711549465,0.0339366302133244,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007kk,P0604,P0605,51,65,0.045000000000001705,0.1590844744153244,-0.1267898334218002,0.018216083238895148,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007le,P0047,P0048,57,5,-0.008899999999997008,0.41796879070093257,-0.027451314672769903,0.004778264035134239,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007le,P0047,P0049,57,65,0.055100000000002994,0.417434330164638,-0.007857699388577399,0.006844957285781524,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007le,P0048,P0049,5,65,0.064,0.4199770827080926,0.019593615284192505,0.005554056580661829,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007nq,P0609,P0610,5,65,-0.07450000000000048,0.1723926332532803,0.0178145872262108,0.025955234646202096,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007o,P0579,P0580,57,64,0.032099999999999795,0.11908261837900609,0.10406501088811,0.02248866821060833,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007on,P0023,P0026,5,56,-0.11100000000000071,0.424461270318035,-0.0114444757127687,0.009111917416271605,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007qe,P0346,P0347,57,64,0.08970000000000061,0.17809696796969904,0.008118074189708498,0.008907267247515198,unreleased; sigma is a diagonal diagnostic only,ok,ok
Pantheon:2007sr,P0033,P0034,57,64,0.05069999999999908,0.09811630853227207,-0.0189947351012101,0.011432729600843749,unreleased; sigma is a diagonal diagnostic only,ok,ok
