uid,epochs_tested,identifiable_epoch_jackknifes,single_epoch_jackknife_max
P0342,8,8,0.004171196101344073
P0343,18,18,0.02820501256827506
P0344,15,15,0.007786465158953798
P0345,59,59,0.015094743544024201
P0346,13,13,0.010001242830156902
P0347,98,98,0.007283695479686962
P0348,15,15,0.050367665493426354
P0349,18,18,0.03551681945948382
P0350,12,12,0.019314803953417392
P0351,51,51,0.006595238927205055
P0352,35,35,0.024391705327139208
P0353,31,31,0.026323208463523245
P0354,13,13,0.013323640953032921
P0355,4,4,0.019771299028479624
P0356,9,9,0.008026971692114228
P0357,19,19,0.002844709338297586
P0358,10,10,0.010285775132511315
P0359,16,16,0.010460017722127268
P0360,94,94,0.0021793986174940922
P0361,23,23,0.04539413842217029
P0362,29,29,0.014930698397379906
P0363,6,6,0.09123049133764528
P0364,95,95,0.010372626209650697
P0365,18,18,0.03868646711215245
P0366,17,17,0.009282885401588958
P0367,21,21,0.0017840486383578669
P0368,3,3,0.4017538663845822
P0369,20,20,0.009439787983438764
P0370,26,26,0.011099957898303698
P0371,21,21,0.005957422434142571
P0372,21,21,0.002695225461307561
P0373,81,81,0.004351385037436328
P0374,15,15,0.012336556952291673
P0375,19,19,0.01030236598106125
P0376,15,15,0.008890201341053788
P0377,25,25,0.0031230123981672757
P0378,22,22,0.0037107052067715356
P0379,25,25,0.029088458078233112
P0380,14,14,0.007506067479843469
P0381,50,50,0.016653547026748212
P0382,18,18,0.01334826743370392
P0383,16,16,0.012995403346682316
P0384,21,21,0.009815303146154643
P0385,13,13,0.014009100840493604
P0386,20,20,0.05624763319078526
P0387,2,0,
P0388,20,20,0.03299994693761167
P0389,28,28,0.011281442918506248
P0390,35,35,0.01662156966885899
P0391,31,31,0.009061614521969644
P0392,15,15,0.27255450567143746
P0393,14,14,0.028287080619873735
P0394,34,34,0.025917010699859397
P0395,38,38,0.012479068308409728
P0396,25,25,0.012296837302574132
P0397,12,12,0.016275237543688918
P0398,16,16,0.029014666424964232
P0399,12,12,0.04903399283397644
P0400,21,21,0.11529838721989939
P0401,15,15,0.004350486499029559
P0402,42,42,0.0017619151792966855
P0403,11,11,0.12772504456247216
P0404,13,13,0.039999475661573865
P0405,17,17,0.0333247336255962
P0406,62,62,0.008726738075297521
P0407,22,22,0.08961355643442416
P0408,60,60,0.003425695175715722
P0409,43,43,0.0086929682553748
P0410,24,24,0.004247362533002394
P0411,15,15,0.06560606473944117
P0412,23,23,0.04055699444233777
P0413,18,18,0.00483286624692341
P0414,7,7,0.030003929132288668
P0415,34,34,0.0022736797082089444
P0416,22,22,0.0040802650993617545
P0417,10,10,0.006513996145741231
P0418,122,122,0.007025580547890292
P0419,8,8,0.010200045936731463
P0420,5,5,0.035444715904709996
P0421,21,21,0.01760497408057879
P0422,21,21,0.02645837423301286
P0423,58,58,0.01781285799112185
P0424,18,18,0.028381769704479677
P0425,21,21,0.059430145809692095
P0426,10,10,0.06757181135893482
P0427,9,9,0.006417007434398861
P0428,9,9,0.010710519163695443
P0429,21,21,0.01675517243373482
P0430,19,19,0.0016662877403611676
P0431,12,12,0.006122125504882588
P0432,21,21,0.006485885463952714
P0433,18,18,0.024802733835699507
P0434,112,112,0.009078009147848388
P0435,22,22,0.019161531028469143
P0436,19,19,0.007228616706181117
P0437,12,12,0.009124752835206237
P0438,22,22,0.004139119874904472
P0439,15,15,0.014691164442304639
P0440,15,15,0.006925095487030623
P0441,18,18,0.0016966083514583967
P0442,14,14,0.017779765682385377
P0443,29,29,0.009218924198384725
P0444,12,12,0.0193831989233744
P0445,6,6,0.07155123867835421
P0446,12,12,0.08370248476648591
P0447,10,10,0.029733606541398033
P0448,5,5,0.5529510553467195
P0449,68,68,0.006805702651532645
P0450,21,21,0.023469217766360278
P0451,15,15,0.01447516469563915
P0452,36,36,0.02834814105330142
P0453,35,35,0.014642424344586489
P0454,29,29,0.028262296392576578
P0455,18,18,0.009549901578015179
P0456,32,32,0.014545208511552696
P0457,18,18,0.047071070200459274
P0458,14,14,0.011385020318271549
P0459,22,22,0.0037580585772374773
P0460,24,24,0.0030689163174849434
P0461,29,29,0.013717149129176898
P0462,25,25,0.023303436424899685
P0463,23,23,0.027886628155829932
P0464,40,40,0.027143436961607478
P0465,18,18,0.038764504579654496
P0466,12,12,0.1486896021236349
P0467,6,6,0.0140315222280689
P0468,24,24,0.005480816155581345
P0469,45,45,0.0017381506982806951
P0470,20,20,0.25099116588488435
P0471,18,18,0.03238911148084338
P0472,12,12,0.02555433883379694
P0473,18,18,0.0079265203948766
P0474,29,29,0.018472377442606342
P0475,43,43,0.00915079341272632
P0476,5,5,0.13416770384455176
P0477,21,21,0.0305984451140121
P0478,16,16,0.012188096490038458
P0479,27,27,0.04976146447093698
P0480,5,5,0.009983072626659708
P0481,34,34,0.0059549863060704145
