uid,chromatic_residual_chi2,chromatic_rank,phase_given_chromatic_chi2,phase_rank,remaining_chi2,post_source_chi2
P0086,114.26803953478124,2,238.4120660847542,2,2041.5045447890486,2394.1846504085843
P0087,54.103072102671874,2,4.8613329986702505,2,171.82485627920556,230.78926138054774
P0088,11.970081887144676,3,333.3147799313371,2,2328.8672028847086,2674.1520647031903
P0089,446.74665002583464,5,301.202328870706,2,8323.789099296493,9071.738078193037
P0090,141.85576978425408,4,35.62840816808545,2,480.0757532650077,657.5599312173473
P0091,396.6408113844968,4,1155.9960378461,2,1605.824510467046,3158.461359697642
P0092,2318.7884221559198,4,2780.452759596031,2,5178.278340432318,10277.519522184266
P0093,216.22114015203206,6,311.5787295176545,2,686.7789214266073,1214.578791096294
P0094,175.09710600514993,4,65.40116336215286,2,202.8532367124992,443.3515060798018
P0095,11.20734213844186,3,303.51646090671755,2,251.45964255659672,566.1834456017561
P0096,545.9982501849472,5,677.5622787273738,2,4415.991633648698,5639.552162561017
P0097,244.704954226512,4,166.0467595331645,2,631.1401091675351,1041.8918229272113
P0098,30.604327771482012,2,10.179847362382842,2,14.172787196859558,54.95696233072444
P0099,85.4291395048381,2,873.2996775528014,2,778.8214798677512,1737.5502969253916
P0100,108.0499659261886,3,276.32183624587617,2,51.30572380504492,435.67752597710984
P0101,755.389418360716,6,26.74976708017549,2,759.5873478376819,1541.7265332785719
P0102,176.36883359920702,4,2.977618309589757,2,53.54669292971526,232.8931448385125
P0103,592.3320844905445,3,36.41001872460202,2,250.40599682926558,879.1481000444123
P0104,222.7861634030994,4,27.55214770026119,2,84.99836141210413,335.3366725154652
P0105,116.16443452346171,4,22.366183390204025,2,176.16826988570756,314.6988877993733
P0106,45.22806027771916,1,29.794840240892984,2,53.74766083494628,128.77056135355838
P0107,4.546995129023788,2,3.16590714838329,2,15.78042689865209,23.49332917605917
P0108,15.52731459542234,2,12.84857315553649,2,37.9784862380693,66.35437398902816
P0109,4828.42105609737,5,2485.7438873118704,2,2248.260589287593,9562.425532696832
P0110,155.6232571948861,3,21.22285213923518,2,146.27013899354574,323.1162483276672
P0111,1.1564970824316934,2,12.830551044790344,2,22.36422633679835,36.35127446402039
P0112,48.07149927599232,2,337.4564906587431,2,891.0390023153271,1276.5669922500629
P0113,281.3618180195799,4,336.56369398438915,2,1376.1810715174593,1994.106583521428
P0114,25.407790447358924,6,0.3367446737910573,2,12.64151667403745,38.386051795187456
P0115,104.05968976004412,3,15.673351673567202,2,78.44949389834005,198.18253533195144
P0116,180.71031422994776,5,629.5330169372322,2,2542.481959513366,3352.7252906805465
P0117,231.2375245585301,3,41.188963178752985,2,93.5245226780962,365.95101041537924
P0118,144.77493635489898,3,148.16263011215491,2,210.34715561756158,503.2847220846154
P0119,50.62577637817975,4,9.294797941942635,2,36.63869023406695,96.55926455418933
P0120,85.12495557724603,6,142.3197713986752,2,445.8076932004272,673.2524201763486
P0121,47.232004785302124,4,153.6312206405932,2,162.7012525880881,363.5644780139835
P0122,260.1932364552868,4,933.4849257004872,2,182.9668308240045,1376.6449929797793
P0123,29.834801916573454,2,16.638358213149537,2,341.48099238599923,387.9541525157221
P0124,474.7057801024158,2,649.5043804485848,2,294.7172275100662,1418.9273880610672
P0125,17.545915777373907,2,42.287402111447165,2,101.20930535446053,161.0426232432816
P0126,10564.255751776436,5,1336.5390987144813,2,32615.78391805996,44516.57876855088
P0127,41.41068817720227,2,0.7943010975391375,2,73.48820171315322,115.69319098789464
P0128,63.290217834034834,2,10.892225212613925,2,21.065578334371615,95.24802138102037
P0129,1.976324190301372,2,0.44745931391459254,2,47.22602673845115,49.64981024266712
P0130,2163.087716610525,5,23.759199940984594,2,915.2923216255674,3102.1392381770784
P0131,34.243676089741854,2,15.380610301559393,2,51.037133562736436,100.66141995403764
P0132,4.294120970230892,3,20.00114045187638,2,96.43531325614516,120.73057467825245
P0133,20.369032297232167,3,2.4060655890558307,2,23.483095477430428,46.2581933637184
P0134,368.04546463818707,3,162.00924489701458,2,978.8638418535919,1508.9185513887933
P0135,490.6653252698117,5,2067.9343259237994,2,12131.862565842175,14690.462217035787
P0136,786.4072870544393,6,234.1170331057962,2,533.0907143697005,1553.6150345299354
P0137,130.57211811729582,4,38.39116923487262,2,177.16943503171623,346.1327223838847
P0138,55.56556007280424,3,1.1116776941729614,2,68.71423013884804,125.39146790582521
P0139,5.617076983807482,3,5.006885153665788,2,17.713984362249718,28.337946499722996
P0140,49.59943853754261,3,119.59469882432994,2,103.19235489856109,272.38649226043367
